time,SlowD,SlowK
2017-04-06,41.9095,60.1151
2017-04-05,31.9393,35.4040
2017-04-03,37.4705,30.2095
2017-03-31,49.7315,30.2044
2017-03-30,63.7476,51.9976
2017-03-29,70.6813,66.9924
2017-03-28,69.8796,72.2528
2017-03-27,68.2499,72.7987
2017-03-24,66.6069,64.5874
2017-03-23,70.9763,67.3636
2017-03-22,75.5708,67.8697
2017-03-21,80.8164,77.6955
2017-03-20,84.5960,81.1473
2017-03-17,88.0608,83.6065
2017-03-16,90.6380,89.0341
2017-03-15,90.7083,91.5418
2017-03-14,82.9616,91.3380
2017-03-10,66.7850,89.2451
2017-03-09,44.3219,68.3016
2017-03-08,28.3516,42.8083
2017-03-07,21.0729,21.8559
2017-03-06,27.1029,20.3907
2017-03-03,37.8310,20.9721
2017-03-02,49.2397,39.9459
2017-03-01,51.5518,52.5750
2017-02-28,51.0611,55.1982
2017-02-27,56.0308,46.8821
2017-02-23,65.3512,51.1030
2017-02-22,74.3881,70.1074
2017-02-21,71.4529,74.8431
2017-02-20,67.6733,78.2137
2017-02-17,60.5781,61.3017
2017-02-16,61.1030,63.5045
2017-02-15,55.6757,56.9281
2017-02-14,49.7929,62.8765
2017-02-13,43.1492,47.2226
2017-02-10,47.5135,39.2797
2017-02-09,56.5049,42.9453
2017-02-08,65.2810,60.3155
2017-02-07,70.1014,66.2539
2017-02-06,74.7291,69.2737
2017-02-03,81.5373,74.7767
2017-02-02,84.5059,80.1369
2017-02-01,87.4079,89.6982
2017-01-31,81.4109,83.6827
2017-01-30,75.5837,88.8428
2017-01-27,60.7027,71.7071
2017-01-25,53.8101,66.2011
2017-01-24,51.2208,44.1998
2017-01-23,60.4726,51.0293
2017-01-20,70.3212,58.4333
2017-01-19,76.7122,71.9552
2017-01-18,76.3641,80.5751
2017-01-17,69.1364,77.6064
2017-01-16,62.4537,70.9106
2017-01-13,56.4506,58.8923
2017-01-12,53.8676,57.5582
2017-01-11,54.5237,52.9014
2017-01-10,61.1553,51.1432
2017-01-09,73.0746,59.5263
2017-01-06,82.0499,72.7963
2017-01-05,87.4494,86.9011
2017-01-04,87.7551,86.4522
2017-01-03,85.8812,88.9950
2017-01-02,82.3786,87.8182
2016-12-30,77.3074,80.8303
2016-12-29,72.2221,78.4873
2016-12-28,60.2924,72.6045
2016-12-27,43.0314,65.5745
2016-12-26,24.8459,42.6982
2016-12-23,19.2217,20.8214
2016-12-22,27.0068,11.0182
2016-12-21,41.2943,25.8256
2016-12-20,50.4709,44.1767
2016-12-19,51.2845,53.8804
2016-12-16,45.8720,53.3556
2016-12-15,43.6060,46.6176
2016-12-14,48.8455,37.6429
