time,SMA
2012-05-21,530.0500
2012-05-18,532.3400
2012-05-17,535.8311
2012-05-16,539.4322
2012-05-15,542.2745
2012-05-14,544.0345
2012-05-11,546.7489
2012-05-10,550.1878
2012-05-09,553.0433
2012-05-08,555.9255
2012-05-07,559.0344
2012-05-04,562.2000
2012-05-03,566.8689
2012-05-02,569.8211
2012-04-30,571.8611
2012-04-27,573.1744
2012-04-26,575.0955
2012-04-25,576.8277
2012-04-24,577.9622
2012-04-23,579.7511
2012-04-20,580.6945
2012-04-19,581.9378
2012-04-18,581.3078
2012-04-17,580.6678
2012-04-16,580.3622
2012-04-13,581.7245
2012-04-12,584.2301
2012-04-11,585.7301
2012-04-10,587.1490
2012-04-09,587.4479
2012-04-04,586.0646
2012-04-03,583.6357
2012-04-02,581.6113
2012-03-30,580.6468
2012-03-29,580.4779
2012-03-28,580.4213
2012-03-27,580.4257
2012-03-26,581.4068
2012-03-23,581.8912
2012-03-22,582.9490
2012-03-21,585.2390
2012-03-20,586.8801
2012-03-19,590.2824
2012-03-16,593.6612
2012-03-15,596.4889
2012-03-14,598.4022
2012-03-13,598.0611
2012-03-12,597.3245
2012-03-09,597.3745
2012-03-07,598.5355
2012-03-06,601.4699
2012-03-05,604.0899
2012-03-03,606.6633
2012-03-02,608.1022
2012-03-01,609.4922
2012-02-29,610.9867
2012-02-28,611.0422
2012-02-27,610.1544
2012-02-24,611.9444
2012-02-23,611.5355
2012-02-22,610.4111
2012-02-21,607.2078
2012-02-17,603.4378
2012-02-16,599.5500
2012-02-15,595.0112
2012-02-14,590.9312
2012-02-13,587.0045
2012-02-10,583.5523
2012-02-09,578.6379
2012-02-08,573.9545
2012-02-07,568.7645
2012-02-06,562.8623
2012-02-03,556.1789
2012-02-02,550.0645
2012-02-01,543.9667
2012-01-31,537.8256
2012-01-30,532.2467
2012-01-27,525.6111
2012-01-25,517.0223
2012-01-24,509.6667
2012-01-23,502.5567
2012-01-20,497.0256
2012-01-19,491.5122
2012-01-18,485.6233
2012-01-17,480.4355
2012-01-16,474.5611
2012-01-13,469.5934
2012-01-12,466.4711
2012-01-11,465.2833
2012-01-10,465.1233
2012-01-09,465.6778
2012-01-07,467.5289
2012-01-06,470.0366
2012-01-05,473.3344
2012-01-04,477.2355
2012-01-03,483.0600
2012-01-02,488.7233
2011-12-30,495.4344
2011-12-29,502.0922
2011-12-28,508.0544
2011-12-27,513.4677
2011-12-26,519.0344
2011-12-23,524.3689
2011-12-22,529.1577
2011-12-21,533.2022
2011-12-20,538.2044
2011-12-19,543.6977
2011-12-16,548.3843
2011-12-15,551.8666
2011-12-14,554.0966
2011-12-13,556.9699
2011-12-12,560.4022
2011-12-09,563.4200
2011-12-08,566.7311
2011-12-07,569.5911
2011-12-05,570.9655
2011-12-02,572.4422
2011-12-01,574.1433
2011-11-30,576.2655
2011-11-29,579.4755
2011-11-28,582.5845
2011-11-25,583.8611
2011-11-24,584.4967
2011-11-23,586.9811
2011-11-22,591.2856
2011-11-21,595.1378
2011-11-18,597.8678
2011-11-17,600.9100
2011-11-16,604.8056
2011-11-15,608.8412
2011-11-14,612.2778
2011-11-11,614.1356
2011-11-09,615.3722
2011-11-08,615.7600
2011-11-04,614.6933
2011-11-03,613.4522
2011-11-02,612.0611
2011-11-01,611.4144
2011-10-31,610.9555
2011-10-28,610.7555
2011-10-25,611.4866
2011-10-24,613.5300
2011-10-21,617.0377
2011-10-20,620.5155
2011-10-19,624.4499
2011-10-18,628.1088
2011-10-17,632.8155
2011-10-14,637.9199
2011-10-13,641.9710
2011-10-12,646.2199
2011-10-11,650.4621
2011-10-10,655.6999
2011-10-07,662.4477
2011-10-05,669.3922
2011-10-04,676.8911
2011-10-03,683.6389
2011-09-30,690.3566
2011-09-29,695.9378
2011-09-28,701.2767
2011-09-27,705.9545
2011-09-26,707.8478
2011-09-23,710.4700
2011-09-22,712.8178
2011-09-21,715.0401
2011-09-20,715.0845
2011-09-19,714.6556
2011-09-16,716.0889
2011-09-15,716.7934
2011-09-14,717.5068
2011-09-13,718.2556
2011-09-12,718.3978
2011-09-09,718.5745
2011-09-08,716.8100
2011-09-07,715.1189
2011-09-06,714.2045
2011-09-05,714.3701
2011-09-02,715.2178
2011-08-30,717.9811
2011-08-29,721.3833
2011-08-26,723.8544
2011-08-25,728.4656
2011-08-24,733.1334
2011-08-23,738.0978
2011-08-22,743.8734
2011-08-19,749.6822
2011-08-18,755.1289
2011-08-17,758.9723
2011-08-16,762.7367
2011-08-12,766.4989
2011-08-11,770.3834
2011-08-10,774.2767
2011-08-09,777.5478
2011-08-08,781.2567
